name,id,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548
Adamdec1,ENSMUST00000022641,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Akt1,ENSMUST00000001780,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
Akt2,ENSMUST00000108344,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
Akt3,ENSMUST00000111160,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Amica1,ENSMUST00000050020,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Anpep,ENSMUST00000107392,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
Bcl2,ENSMUST00000112751,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
Bcl6,ENSMUST00000023151,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
Blk,ENSMUST00000014597,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Blnk,ENSMUST00000054769,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
Car5b,ENSMUST00000033739,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Ccr2,ENSMUST00000055918,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Ccr3,ENSMUST00000039171,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Ccr7,ENSMUST00000103134,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
Cd19,ENSMUST00000206325,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Cd28,ENSMUST00000027165,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
Cd38,ENSMUST00000030964,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
Cd4,ENSMUST00000024044,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Cd6,ENSMUST00000080292,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Clec7a,ENSMUST00000195589,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
Cr2,ENSMUST00000082321,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
