name,id,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548
Blank-1,,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Blank-2,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Blank-3,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Blank-4,,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
Blank-5,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
Blank-6,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Blank-7,,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
Blank-8,,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Blank-9,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Blank-10,,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
Blank-11,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
AHI1,ENST00000533029.1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
AKAP9,ENST00000356239.8,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ANKRD36,ENST00000421946.2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
ANKRD36C,ENST00000456556.5,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
ANXA1,ENST00000257497.11,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
APLP2,ENST00000278756.7,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
APRT,ENST00000378364.8,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
AQP5,ENST00000293599.7,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
AREG,ENST00000395748.8,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
ATP6V0B,ENST00000472174.7,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
BCL11A,ENST00000489516.7,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
BIRC3,ENST00000263464.9,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
BPTF,ENST00000581258.5,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
BTG1,ENST00000256015.5,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
C1orf21,ENST00000367514.7,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
CCDC88A,ENST00000426576.6,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
